arm,model,layer,source_turn,target_turn,r2
armG,instruct,19,4,5,0.5723723958123415
armG,instruct,19,4,6,0.5637395534195723
armG,instruct,19,4,7,0.5504289134475957
armG,instruct,19,4,8,0.5396127052203447
armG,instruct,19,4,9,0.5288258067781264
armG,instruct,19,5,1,0.19261199972706666
armG,instruct,19,5,10,0.5399166068464988
armG,instruct,19,5,11,0.5315521443252135
armG,instruct,19,5,12,0.5219573060812523
armG,instruct,19,5,13,0.5176879819926582
armG,instruct,19,5,14,0.5044644631091587
armG,instruct,19,5,15,0.49405397979117893
armG,instruct,19,5,16,0.49148719344297953
armG,instruct,19,5,2,0.48210938635593104
armG,instruct,19,5,3,0.5520212756074474
armG,instruct,19,5,4,0.5722495837050714
armG,instruct,19,5,5,0.5751967910568325
armG,instruct,19,5,6,0.5710775137097732
armG,instruct,19,5,7,0.5629614947384346
armG,instruct,19,5,8,0.5567018020399109
armG,instruct,19,5,9,0.5500354010072472
armG,instruct,19,6,1,0.13903754373745958
armG,instruct,19,6,10,0.5539708978779134
armG,instruct,19,6,11,0.5463318432179446
armG,instruct,19,6,12,0.5391464689290972
armG,instruct,19,6,13,0.5365301135358589
armG,instruct,19,6,14,0.5263888315253277
armG,instruct,19,6,15,0.5186203977266857
armG,instruct,19,6,16,0.5144465712885546
armG,instruct,19,6,2,0.45540595948830476
armG,instruct,19,6,3,0.5381680358957768
armG,instruct,19,6,4,0.5647962584809972
armG,instruct,19,6,5,0.5715222871699444
armG,instruct,19,6,6,0.5740452762784207
armG,instruct,19,6,7,0.5676248736851415
armG,instruct,19,6,8,0.5647211653023554
armG,instruct,19,6,9,0.5601146305644962
armG,instruct,19,7,1,0.14858833427893325
armG,instruct,19,7,10,0.5601144809894243
armG,instruct,19,7,11,0.5550708656964755
armG,instruct,19,7,12,0.5483687504854333
armG,instruct,19,7,13,0.549176379545851
armG,instruct,19,7,14,0.5401041823349506
armG,instruct,19,7,15,0.5348334109498261
armG,instruct,19,7,16,0.5295154081606677
armG,instruct,19,7,2,0.4376168839806126
armG,instruct,19,7,3,0.5231003064626532
armG,instruct,19,7,4,0.555079911801873
armG,instruct,19,7,5,0.5661441208655756
armG,instruct,19,7,6,0.5706454917787182
armG,instruct,19,7,7,0.5689051264046092
armG,instruct,19,7,8,0.5682100673448693
armG,instruct,19,7,9,0.5650173100930769
armG,instruct,19,8,1,0.1600223081522324
armG,instruct,19,8,10,0.5636002086855367
armG,instruct,19,8,11,0.5606471009964151
armG,instruct,19,8,12,0.5550538028812388
armG,instruct,19,8,13,0.556361947135044
armG,instruct,19,8,14,0.5477770928164948
armG,instruct,19,8,15,0.543611930162519
armG,instruct,19,8,16,0.5419956673100665
armG,instruct,19,8,2,0.43790075000559237
armG,instruct,19,8,3,0.5181718203511905
armG,instruct,19,8,4,0.5497326320203001
armG,instruct,19,8,5,0.561986492751178
armG,instruct,19,8,6,0.5681282594732397
armG,instruct,19,8,7,0.5677466087367375
armG,instruct,19,8,8,0.5687886046017275
armG,instruct,19,8,9,0.5682021250827234
armG,instruct,19,9,1,0.13159745037331516
armG,instruct,19,9,10,0.5655334093869702
armG,instruct,19,9,11,0.5649470898955651
armG,instruct,19,9,12,0.5600118861754018
armG,instruct,19,9,13,0.5634647326700917
armG,instruct,19,9,14,0.5543727385383204
armG,instruct,19,9,15,0.5507837768244448
armG,instruct,19,9,16,0.5494431812995458
armG,instruct,19,9,2,0.4150241805473991
armG,instruct,19,9,3,0.5045136878743535
armG,instruct,19,9,4,0.540105345309686
armG,instruct,19,9,5,0.5556661520936956
armG,instruct,19,9,6,0.5633074561485967
armG,instruct,19,9,7,0.5644673513680465
armG,instruct,19,9,8,0.5679262506939471
armG,instruct,19,9,9,0.5712341067433795
armG,pretrained,19,1,1,0.3741001358927213
armG,pretrained,19,1,10,-0.1422697624600051
armG,pretrained,19,1,11,-0.18279046148456923
armG,pretrained,19,1,12,-0.21120445722005177
armG,pretrained,19,1,13,-0.2468149032055449
armG,pretrained,19,1,14,-0.2736862212262494
armG,pretrained,19,1,15,-0.29767609694895447
armG,pretrained,19,1,16,-0.3006004223882912
armG,pretrained,19,1,2,0.18733432880933865
armG,pretrained,19,1,3,0.14384347188099467
armG,pretrained,19,1,4,0.0919740542416132
armG,pretrained,19,1,5,0.03853042160403619
armG,pretrained,19,1,6,-0.009084180499018268
armG,pretrained,19,1,7,-0.05131049326473236
armG,pretrained,19,1,8,-0.0827478188119124
armG,pretrained,19,1,9,-0.11519438087954637
armG,pretrained,19,10,1,-0.10999496778287865
armG,pretrained,19,10,10,0.6352343043781963
armG,pretrained,19,10,11,0.6395640095832449
armG,pretrained,19,10,12,0.6449948863276103
armG,pretrained,19,10,13,0.6417670466405314
armG,pretrained,19,10,14,0.6398965547068486
armG,pretrained,19,10,15,0.6396476040787162
armG,pretrained,19,10,16,0.6373596053937787
armG,pretrained,19,10,2,0.27383067132996175
armG,pretrained,19,10,3,0.4731317937711169
armG,pretrained,19,10,4,0.5428192774568226
armG,pretrained,19,10,5,0.5806227675378568
armG,pretrained,19,10,6,0.6007492557043359
armG,pretrained,19,10,7,0.6172597788110434
armG,pretrained,19,10,8,0.625760936880926
armG,pretrained,19,10,9,0.6324845604283171
armG,pretrained,19,11,1,-0.14149089381961155
armG,pretrained,19,11,10,0.6354181032255508
armG,pretrained,19,11,11,0.6415988670554797
armG,pretrained,19,11,12,0.6463950676602397
armG,pretrained,19,11,13,0.6438083341058674
armG,pretrained,19,11,14,0.6430107482006377
armG,pretrained,19,11,15,0.6434328971466305
armG,pretrained,19,11,16,0.641777268419902
armG,pretrained,19,11,2,0.27079286642466416
armG,pretrained,19,11,3,0.46783704324021025
armG,pretrained,19,11,4,0.537881774513335
armG,pretrained,19,11,5,0.5766627466067071
armG,pretrained,19,11,6,0.5977701403392371
armG,pretrained,19,11,7,0.6154521665638955
armG,pretrained,19,11,8,0.6232057043813999
armG,pretrained,19,11,9,0.6308617871085422
armG,pretrained,19,12,1,-0.17895894392824485
armG,pretrained,19,12,10,0.6352952299171342
armG,pretrained,19,12,11,0.6412912814329248
armG,pretrained,19,12,12,0.647169390531457
armG,pretrained,19,12,13,0.6452741974569698
armG,pretrained,19,12,14,0.6453925138618861
armG,pretrained,19,12,15,0.6462103249799915
armG,pretrained,19,12,16,0.6440950133225484
armG,pretrained,19,12,2,0.2680596921788184
armG,pretrained,19,12,3,0.46459602597487815
armG,pretrained,19,12,4,0.5350705568037437
armG,pretrained,19,12,5,0.5735161103335589
armG,pretrained,19,12,6,0.5943254456758196
armG,pretrained,19,12,7,0.6117628265862589
armG,pretrained,19,12,8,0.6219266887144936
armG,pretrained,19,12,9,0.6300508739276648
armG,pretrained,19,13,1,-0.17735480349385746
armG,pretrained,19,13,10,0.6337354227541574
armG,pretrained,19,13,11,0.6395206714226629
armG,pretrained,19,13,12,0.646408691742105
armG,pretrained,19,13,13,0.6452617341454554
armG,pretrained,19,13,14,0.6458268636927169
armG,pretrained,19,13,15,0.6478770785260157
armG,pretrained,19,13,16,0.6459545986219939
armG,pretrained,19,13,2,0.24891786352566359
armG,pretrained,19,13,3,0.45301397807136035
armG,pretrained,19,13,4,0.5273021109116786
armG,pretrained,19,13,5,0.5681137940743437
armG,pretrained,19,13,6,0.5901321616645419
armG,pretrained,19,13,7,0.609012306976276
armG,pretrained,19,13,8,0.619231231954893
armG,pretrained,19,13,9,0.627427115515107
armG,pretrained,19,14,1,-0.1932641371709729
armG,pretrained,19,14,10,0.6319480768616988
armG,pretrained,19,14,11,0.6385473026000243
armG,pretrained,19,14,12,0.6456864960031752
armG,pretrained,19,14,13,0.6448957482258273
armG,pretrained,19,14,14,0.6445910660686813
armG,pretrained,19,14,15,0.6475736918920079
armG,pretrained,19,14,16,0.6458688151174823
armG,pretrained,19,14,2,0.25472863755571085
armG,pretrained,19,14,3,0.45196099643650256
armG,pretrained,19,14,4,0.5248833735359275
armG,pretrained,19,14,5,0.5651051397673729
armG,pretrained,19,14,6,0.5868475245260921
armG,pretrained,19,14,7,0.6053256035093497
armG,pretrained,19,14,8,0.6161102896853112
armG,pretrained,19,14,9,0.6242406033321688
armG,pretrained,19,15,1,-0.2607258728871178
armG,pretrained,19,15,10,0.6290698337379974
armG,pretrained,19,15,11,0.6360340608814615
armG,pretrained,19,15,12,0.6439736259028751
armG,pretrained,19,15,13,0.644065578337455
