arm,model,layer,turn,mapping,n,r2,null_mean,null_hi,null_max,r2_folds
armG,instruct,18,13,ctx,5000,0.5515965647142012,,,,0.560752;0.550430;0.558639;0.537764;0.549830;0.549274
armG,instruct,18,13,pfx,5000,0.4061427805613088,,,,0.417367;0.408779;0.394134;0.399257;0.410094;0.403638
armG,instruct,18,14,ctx,5000,0.546922023491337,,,,0.554288;0.540810;0.548133;0.540700;0.543218;0.550410
armG,instruct,18,14,pfx,5000,0.4014852516041354,,,,0.403461;0.408565;0.401987;0.398307;0.406561;0.386727
armG,instruct,18,15,ctx,5000,0.5464679822305822,,,,0.544752;0.547963;0.559833;0.542641;0.538961;0.541831
armG,instruct,18,15,pfx,5000,0.39944091950256333,,,,0.411658;0.411025;0.395332;0.402288;0.388076;0.385332
armG,instruct,18,16,ctx,5000,0.5504783805996996,,,,0.553842;0.554183;0.560610;0.539278;0.542796;0.549813
armG,instruct,18,16,pfx,5000,0.3975873248598282,,,,0.405688;0.406418;0.400538;0.384390;0.389065;0.396330
armG,instruct,19,1,ctx,5000,0.5897303595996677,-0.17123734703439658,-0.16572339515479373,-0.16222317171918932,0.587820;0.593321;0.588459;0.597669;0.589866;0.579056
armG,instruct,19,2,ctx,5000,0.5636622755589196,-0.15736565430799815,-0.15281856182742914,-0.1514784280607886,0.560284;0.558495;0.565809;0.561456;0.568481;0.564705
armG,instruct,19,2,pfx,5000,0.29098294458370366,-0.16981406522995696,-0.1651008106855219,-0.16267263247310582,0.290744;0.293432;0.291170;0.291946;0.283467;0.290539
armG,instruct,19,3,ctx,5000,0.5727320282394555,-0.15106534852322856,-0.14637635316929526,-0.14468506025555383,0.559359;0.582168;0.574543;0.567159;0.575608;0.575182
armG,instruct,19,3,pfx,5000,0.4144366486099691,-0.1682541214635313,-0.16205604584480612,-0.1590058229549256,0.403701;0.429077;0.409293;0.411377;0.417272;0.412683
armG,instruct,19,4,ctx,5000,0.5775140507222718,-0.14649772175229178,-0.14136391416091934,-0.14003449447030447,0.565970;0.579438;0.579256;0.575066;0.584815;0.577849
armG,instruct,19,4,pfx,5000,0.4484073831185139,-0.15998103917498357,-0.15551271871550196,-0.1520788536850295,0.430709;0.454165;0.452721;0.444110;0.457229;0.448086
armG,instruct,19,5,ctx,5000,0.5756349438627786,-0.14248505625914742,-0.13817863291074575,-0.13640778203071702,0.576590;0.576447;0.573578;0.566962;0.581340;0.576599
armG,instruct,19,5,pfx,5000,0.4621155815076906,-0.15477793662815104,-0.15028267611896215,-0.14766940648932914,0.457145;0.465533;0.460338;0.453783;0.466072;0.466736
armG,instruct,19,6,ctx,5000,0.5744762831730623,-0.13952937403079077,-0.13459110643724426,-0.13307396402276161,0.575075;0.577479;0.571953;0.557732;0.582887;0.579841
armG,instruct,19,6,pfx,5000,0.4654582566294102,-0.1510351221882619,-0.14587621138830567,-0.14273637271761652,0.470548;0.459772;0.463314;0.448749;0.479837;0.468018
armG,instruct,19,7,ctx,5000,0.569335200057544,-0.13701291869566185,-0.13250831407938693,-0.13033958191671613,0.575737;0.577802;0.567768;0.559807;0.571095;0.561899
armG,instruct,19,7,pfx,5000,0.46909128157134317,-0.14868950560332161,-0.1433620670786061,-0.14189259738009552,0.475782;0.471497;0.469262;0.465758;0.473671;0.455796
armG,instruct,19,8,ctx,5000,0.569239122953052,-0.13534643917820088,-0.13055925697816229,-0.12804216480823727,0.567755;0.573226;0.567161;0.563700;0.574657;0.566674
armG,instruct,19,8,pfx,5000,0.46165850708125455,-0.14667648651342705,-0.1410046454740313,-0.1366003417316315,0.459899;0.457198;0.460814;0.459810;0.474039;0.455139
armG,instruct,19,9,ctx,5000,0.5716987049411043,-0.13398201094038772,-0.12951609600162503,-0.12768072169151812,0.568351;0.580905;0.573169;0.568235;0.571199;0.566186
armG,instruct,19,9,pfx,5000,0.46772376887614464,-0.14516639538476692,-0.14084675716693304,-0.1369489145653322,0.458696;0.473818;0.464521;0.464317;0.468764;0.473056
armG,instruct,19,10,ctx,5000,0.5675542851927489,-0.13312257505244038,-0.12799212110386607,-0.12533555117588469,0.566539;0.570508;0.573481;0.558776;0.567045;0.566379
armG,instruct,19,10,pfx,5000,0.4557141512063029,-0.14423081511224833,-0.13715150460157013,-0.1356900812380144,0.446933;0.466268;0.457713;0.453046;0.449225;0.458023
armG,instruct,19,11,ctx,5000,0.5665026855507191,-0.13184859975061727,-0.1270868611816151,-0.12406917721292499,0.563489;0.567860;0.571574;0.565537;0.558228;0.569473
armG,instruct,19,11,pfx,5000,0.45475277065064723,-0.1431648186469969,-0.13796231783102464,-0.13613574930343275,0.452660;0.449959;0.454721;0.460492;0.443575;0.463291
armG,instruct,19,12,ctx,5000,0.5636322541197986,-0.1316105198776709,-0.12674418581730718,-0.12563710868307476,0.566960;0.563918;0.568815;0.552796;0.569702;0.557203
armG,instruct,19,12,pfx,5000,0.4480865354383834,-0.14245355373856436,-0.13683112081069385,-0.13241855931186497,0.445583;0.449521;0.443809;0.454722;0.454388;0.437732
armG,instruct,19,13,ctx,5000,0.5713250866959321,-0.13003356591245574,-0.12452307978051634,-0.12151449566598616,0.581442;0.566577;0.578188;0.560852;0.567244;0.570601
armG,instruct,19,13,pfx,5000,0.44650917433990545,-0.14228528512251015,-0.13732958216279756,-0.135257273420341,0.457790;0.446804;0.438472;0.440296;0.449173;0.443031
armG,instruct,19,14,ctx,5000,0.5675301859098214,-0.12945959322490203,-0.12482124769764798,-0.12362577328721414,0.575937;0.560172;0.567490;0.562397;0.565543;0.569749
