group,path,revision,bytes,git_blob,lfs_sha256,url,download_url,bundled_path,sha256,status,download_http_status
answer_65k,issue2476_turnavg/analysis_tensors/sae_c/train_log.json,a5cf03bbe4807361a74c427a46ad329065f75e30,1932,ee7e19802860ba0bb05dc38c26342a3b61bab107,,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2476_turnavg/analysis_tensors/sae_c/train_log.json,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2476_turnavg/analysis_tensors/sae_c/train_log.json,sae_assets/issue2476_turnavg/analysis_tensors/sae_c/train_log.json,b200f6e17ee255d9d753cbda2be2109180e63edd1eeecf4007abe30637885b54,bundled_verified,
dense_map,issue779_monitoring/n1m_readout/weights/L19/krr_nystrom.pt,cd80ba2588bb6d4291edf621176ea654bcbf2507,1543520803,b274cbdccd49467e8d00c42158f699672067454c,0ff83ad3f1664a01609438e9a8b356e8563eac7879d75a26f0efb770bee741d8,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/cd80ba2588bb6d4291edf621176ea654bcbf2507/issue779_monitoring/n1m_readout/weights/L19/krr_nystrom.pt,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/cd80ba2588bb6d4291edf621176ea654bcbf2507/issue779_monitoring/n1m_readout/weights/L19/krr_nystrom.pt,,,remote_only_large_file,200
dense_map,issue779_monitoring/n1m_readout/weights/L19/mlp_w32768.pt,cd80ba2588bb6d4291edf621176ea654bcbf2507,939715807,2c524eab626fe2266b275dde95964b3dd1c2c181,1526a8066ffdf2eb464ce06c2f6af6e70420dd1068fa537d3d492a2436f27890,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/cd80ba2588bb6d4291edf621176ea654bcbf2507/issue779_monitoring/n1m_readout/weights/L19/mlp_w32768.pt,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/cd80ba2588bb6d4291edf621176ea654bcbf2507/issue779_monitoring/n1m_readout/weights/L19/mlp_w32768.pt,,,remote_only_large_file,200
dense_map,issue779_monitoring/n1m_readout/weights/L19/mlp_w8192.pt,cd80ba2588bb6d4291edf621176ea654bcbf2507,234974418,8e4cf6ff51201383387b0a8dd937ae6de10e2376,8311610d7ff6cf78c100a1320192b3b1cf839d06f9115e2bbeb0f1c8110e2b41,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/cd80ba2588bb6d4291edf621176ea654bcbf2507/issue779_monitoring/n1m_readout/weights/L19/mlp_w8192.pt,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/cd80ba2588bb6d4291edf621176ea654bcbf2507/issue779_monitoring/n1m_readout/weights/L19/mlp_w8192.pt,,,remote_only_large_file,200
dense_map,issue779_monitoring/n1m_readout/weights/L19/ridge.pt,cd80ba2588bb6d4291edf621176ea654bcbf2507,51425703,2d5e0c84a51ccafcfbc6cab57247abed906b6d07,188486f8afd9d95221e32492f3a0be2a3bdb2098cbe7fadfecf1d46433567909,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/cd80ba2588bb6d4291edf621176ea654bcbf2507/issue779_monitoring/n1m_readout/weights/L19/ridge.pt,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/cd80ba2588bb6d4291edf621176ea654bcbf2507/issue779_monitoring/n1m_readout/weights/L19/ridge.pt,,,remote_only_large_file,200
sae_maps,issue2643_sae_map/direct_edges/autointerp.json,1c5eb09f2bcabd9541a86890f0e0e945afff903a,74782,6dc29f447cecd8f80f58ea437eb1f594256cbec0,,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/1c5eb09f2bcabd9541a86890f0e0e945afff903a/issue2643_sae_map/direct_edges/autointerp.json,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/1c5eb09f2bcabd9541a86890f0e0e945afff903a/issue2643_sae_map/direct_edges/autointerp.json,sae_assets/issue2643_sae_map/direct_edges/autointerp.json,48bcbc615bdf2ab339fc35fc3be36fab61645f14c71f92d11df9454ec885455b,bundled_verified,
sae_maps,issue2643_sae_map/direct_edges/autointerp_examples.jsonl,1c5eb09f2bcabd9541a86890f0e0e945afff903a,1303654,1bd462296fda4ab4291dbb207d66e5d6f169eca2,,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/1c5eb09f2bcabd9541a86890f0e0e945afff903a/issue2643_sae_map/direct_edges/autointerp_examples.jsonl,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/1c5eb09f2bcabd9541a86890f0e0e945afff903a/issue2643_sae_map/direct_edges/autointerp_examples.jsonl,sae_assets/issue2643_sae_map/direct_edges/autointerp_examples.jsonl,8b9c179fa0acfff64ebf0effa72c3054fc9e684ae9ddb7462122caa4c29e9706,bundled_verified,
sae_maps,issue2643_sae_map/direct_edges/china_training_refusal_audit.json,1c5eb09f2bcabd9541a86890f0e0e945afff903a,127233,d9d64369599400e4914fa2e80787784d07aebeea,,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/1c5eb09f2bcabd9541a86890f0e0e945afff903a/issue2643_sae_map/direct_edges/china_training_refusal_audit.json,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/1c5eb09f2bcabd9541a86890f0e0e945afff903a/issue2643_sae_map/direct_edges/china_training_refusal_audit.json,sae_assets/issue2643_sae_map/direct_edges/china_training_refusal_audit.json,443672b10e71d0d4ca3a1d9d5cf6b91783a9e9f88b715ee214ad73a00e3e78f9,bundled_verified,
sae_maps,issue2643_sae_map/direct_edges/china_training_refusal_sae_classifier.json,1c5eb09f2bcabd9541a86890f0e0e945afff903a,2477,d047bebf146f54f037d3a3b9c35300f67075b84f,,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/1c5eb09f2bcabd9541a86890f0e0e945afff903a/issue2643_sae_map/direct_edges/china_training_refusal_sae_classifier.json,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/1c5eb09f2bcabd9541a86890f0e0e945afff903a/issue2643_sae_map/direct_edges/china_training_refusal_sae_classifier.json,sae_assets/issue2643_sae_map/direct_edges/china_training_refusal_sae_classifier.json,33e7fd9e595b1d3e35489415fae4ea1e8986ee7d97ceb30e497672c4cad4fae8,bundled_verified,
sae_maps,issue2643_sae_map/direct_edges/direct_rank256_seed2643.pt,1c5eb09f2bcabd9541a86890f0e0e945afff903a,34607085,d0a5b3d98368dd535a95cfac4bf8f9c3046dfcd3,8bbf774b32d86e1fb0a9dc36ed58c298e4319fee3eb9a252ea5ae8441a9b0660,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/1c5eb09f2bcabd9541a86890f0e0e945afff903a/issue2643_sae_map/direct_edges/direct_rank256_seed2643.pt,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/1c5eb09f2bcabd9541a86890f0e0e945afff903a/issue2643_sae_map/direct_edges/direct_rank256_seed2643.pt,,,remote_only_large_file,200
