behavior,regime,variant,u_rung_label,budget_l,draw,seed,f_u,f_l,delta_rho_frozen,ci_lo_inherited,ci_hi_inherited,rho_arm6,rho_arm2
evil,e1,context_end,250,2500,0,1,,,-0.31988954912255785,-0.3518839464097727,-0.28813645584430325,0.342745017275603,0.6626345663981609
evil,e2,context_end,250,2500,0,1,,,-0.44760713538441155,-0.48561730058944075,-0.40410413386004806,0.21502743101374933,0.6626345663981609
evil,e2p,context_end,250,2500,0,1,,,-0.273249303386207,-0.30867532946414933,-0.23920532125282182,0.38938526301195386,0.6626345663981609
evil,e1,context_end,250,2500,0,2,,,-0.31399450473006363,-0.3483103533611243,-0.28008357316632587,0.3492780541869288,0.6632725589169924
evil,e2,context_end,250,2500,0,2,,,-0.4691105466957901,-0.515249192306579,-0.4293052616025517,0.1941620122212023,0.6632725589169924
evil,e2p,context_end,250,2500,0,2,,,-0.2957699805407551,-0.33181063170004155,-0.2619524865373176,0.36750257837623734,0.6632725589169924
evil,e1,context_end,250,2500,1,0,,,-0.30466554925106054,-0.3406871285904159,-0.27626658389414843,0.3582172264815027,0.6628827757325633
evil,e2,context_end,250,2500,1,0,,,-0.548793451725491,-0.5795901943578354,-0.5097666199688407,0.11408932400707225,0.6628827757325633
evil,e2p,context_end,250,2500,1,0,,,-0.36153049046221025,-0.39882203669054167,-0.32538957332315843,0.301352285270353,0.6628827757325633
evil,e1,context_end,250,2500,1,1,,,-0.31778761231130487,-0.35029138052259223,-0.28108820656780714,0.3368177843851106,0.6546053966964155
evil,e2,context_end,250,2500,1,1,,,-0.5028216791163819,-0.5446724103318974,-0.4597077223041198,0.1517837175800336,0.6546053966964155
evil,e2p,context_end,250,2500,1,1,,,-0.30969872734868287,-0.3425551813164415,-0.269071051816035,0.3449066693477326,0.6546053966964155
evil,e1,context_end,250,2500,1,2,,,-0.3048340554511618,-0.33987232701642284,-0.2716173960925506,0.34222634033973187,0.6470603957908937
evil,e2,context_end,250,2500,1,2,,,-0.44640966913979985,-0.4940279152242101,-0.4022092293256554,0.20065072665109387,0.6470603957908937
evil,e2p,context_end,250,2500,1,2,,,-0.25572225468511073,-0.2945040192812966,-0.21976689450813333,0.39133814110578297,0.6470603957908937
evil,e1,context_end,250,2500,2,0,,,-0.3023335505528514,-0.3358586538152849,-0.26942363527923024,0.3561036779958996,0.658437228548751
evil,e2,context_end,250,2500,2,0,,,-0.495928341715733,-0.5317761578849354,-0.448402290936517,0.16250888683301795,0.658437228548751
evil,e2p,context_end,250,2500,2,0,,,-0.2758412033115867,-0.30808260120355546,-0.23917990474525877,0.3825960252371643,0.658437228548751
evil,e1,context_end,250,2500,2,1,,,-0.2700271642806442,-0.3014658132363362,-0.2411082724768274,0.3998236512921861,0.6698508155728303
evil,e2,context_end,250,2500,2,1,,,-0.46542669930229363,-0.5087994666264074,-0.4248225083198918,0.20442411627053672,0.6698508155728303
evil,e2p,context_end,250,2500,2,1,,,-0.2456637911528874,-0.2789454899068703,-0.21478860157027863,0.42418702441994294,0.6698508155728303
